title,date,image_webp,image,external_link
'AIGCxHangzhou|Hangzhou AIGC Industry Alliance Launches and Launches "Emergence・AIGC Industry Application Salon" Brand',2023-06-29T00:00:00+00:00,'0629.webp','0629.jpg','https://mp.weixin.qq.com/s/htj8yFn5S6-q5nRQlMX3cw'
'AIGCxChangsha|Changsha AIGC Industry Alliance Launches!',2023-06-26T00:00:00+00:00,'0626.webp','0626.jpg','https://mp.weixin.qq.com/s/pq10Mabtthlw7pudDq4aBw'
'AIGCxWenzhou|Exploring the Future of AIGC+Commerce',2023-06-21T00:00:00+00:00,'0621.webp','0621.jpg','https://mp.weixin.qq.com/s/vzzbaAPov_lP0dt9ECclOg'
'AIGCxNingbo|Ningbo AIGC Industry Alliance Launches!',2023-06-20T00:00:00+00:00,'0620.webp','0621.jpg','https://mp.weixin.qq.com/s/4XraPgxx3WtOwyt3dbUDkQ'
'AIGCxWenzhou|Wenzhou AIGC Application Case Sharing Event is Coming',2023-06-19T00:00:00+00:00,'0619.webp','0619.jpg','https://mp.weixin.qq.com/s/OVm-3LzBrvQBfAtxrfOZHg'
'AIGCxChina|Daily Message Column Opened',2023-06-17T00:00:00+00:00,'0617.webp','0617.jpg','https://mp.weixin.qq.com/s/xXbChpkcNY5dZGISqUx0xw'
'AIGCxHuoshui|Building Huoshui AIGC City Group in Beijing, Shanghai, Guangzhou and Shenzhen, and launching offline sharing activities for AI reading courses',2023-06-13T00:00:00+00:00,'0613.webp','0613.jpg','https://mp.weixin.qq.com/s/XPfb8kaJOPrhEnFxesZv2A'
'AIGCxChina|Observation Report of Global Artificial Intelligence Technology Conference: AIGC will land in more than 50% of industry core scenes within 2 years',2023-06-12T00:00:00+00:00,'0612.webp','0612.jpg','https://mp.weixin.qq.com/s/37q0ZtOj6UAqmZJm0MZLbA'
'AIGCxChina|China AIGC Industry Alliance Conference Held Successfully! Wenzhou leads, half of the top 30 cities in China follow!',2023-06-10T00:00:00+00:00,'0610.webp','0610.jpg','https://mp.weixin.qq.com/s/SnH-VisgoaMdOUHwfX8ZXA'


